name,source,gender,wikidata,type
Blanchardstraße,wikidata,+,Q366649;Q241755,way
Edingerweg,wikidata,+,Q56435227;Q66524,way
Amelia-Mary-Earhart-Straße,wikidata,F,Q3355,way
Angelika-Machinek-Straße,wikidata,F,Q123696,way
Anna-Beyer-Straße,wikidata,F,Q559741,way
Anna-Lindh-Allee,wikidata,F,Q208591,way
Anna-Seghers-Pfad,wikidata,F,Q57393,way
Anne-Frank-Straße,wikidata,F,Q4583,way
Anneliese-Hoevel-Straße,wikidata,F,Q28465135,way
Annette-Kolb-Weg,wikidata,F,Q71112,way
Bertha-Bagge-Straße,wikidata,F,Q827689,way
Bertha-von-Suttner-Ring,wikidata,F,Q18456,way
Bessie-Coleman-Straße,wikidata,F,Q254376,way
Bettinaplatz,wikidata,F,Q57236,way
Bettinastraße,wikidata,F,Q57236,way
Boseweg,wikidata,F,Q5177066,way
Buber-Neumann-Weg,wikidata,F,Q77490,way
Christiane-Vulpius-Straße,wikidata,F,Q66746,way
Clara-Schumann-Weg,wikidata,F,Q132232,way
Edith-Stein-Weg,wikidata,F,Q76749,way
Eleonore-Sterling-Straße,wikidata,F,Q1328095,way
Elisabeth-Schwarzhaupt-Anlage,wikidata,F,Q65397,way
Elisabeth-Selbert-Platz,wikidata,F,Q75976,way
Elisabeth-Winterhalter-Straße,wikidata,F,Q1330382,way
Elisabethenplatz,wikidata,F,Q159862,way
Elisabethenstraße,wikidata,F,Q159862,way
Ella-Bergmann-Michel-Straße,wikidata,F,Q536309,way
Elly-Beinhorn-Straße,wikidata,F,Q63643,way
Elly-Heuss-Knapp-Straße,wikidata,F,Q78010,way
Elsa-Brändström-Platz,wikidata,F,Q469673,way
Else-Alken-Straße,wikidata,F,Q16831207,way
Else-Epstein-Weg,wikidata,F,Q1895817,way
Erna-Pinner-Straße,wikidata,F,Q1356105,way
Franziska-Kessel-Straße,wikidata,F,Q1389045,way
Frida-Amram-Weg,wikidata,F,Q61178,way
Gisèle-Freund-Platz,wikidata,F,Q64354,way
Gräfin-Dönhoff-Straße,wikidata,F,Q62443,way
Günderrodestraße,wikidata,F,Q62053,way
Hannah-Arendt-Straße,wikidata,F,Q60025,way
Hedwig-Dransfeld-Straße,wikidata,F,Q121245,way
Helene-Adler-Weg,wikidata,F,Q968739,way
