name,source,gender,wikidata,type
Adelheidstraße,wikidata,,Q354803,way
Airportring,wikidata,,Q117156404;Q46033,way
Altkönigstraße,wikidata,,Q442204,way
"Am Bachberg",wikidata,,Q1010881,way
"Am Burghof",wikidata,,Q1011117,way
"Am Hauptbahnhof",wikidata,,Q165368,way
"Am Henninger Turm",wikidata,,Q281339,way
"Amorbacher Weg",wikidata,,Q474051,way
"An der Hauptwache",wikidata,,Q195116,way
"An der Kleinmarkthalle",wikidata,,Q1746954,way
"An der Staufenmauer",wikidata,,Q895613,way
Antoniterstraße,wikidata,,Q606474,way
"Aßlarer Straße",wikidata,,Q558494,way
"Athener Straße",wikidata,,Q1524,way
"Babenhäuser Landstraße",wikidata,,Q516552,way
Barchfeldstraße,wikidata,,Q1615766,way
"Baseler Platz",wikidata,,Q78,way
"Baseler Straße",wikidata,,Q78,way
"Berger Marktplatz",wikidata,,Q314066,way
"Berliner Straße",wikidata,,Q64,way
Bethmannstraße,wikidata,,Q321195,way
"Beuthener Straße",wikidata,,Q102350,way
Bleichstraße,wikidata,,Q100163675,way
"Bockenheimer Anlage",wikidata,,Q516056,way
"Bockenheimer Landstraße",wikidata,,Q516056,way
Bolongarostraße,wikidata,,Q891540,way
"Bremer Platz",wikidata,,Q24879,way
"Bremer Straße",wikidata,,Q24879,way
Brendelstraße,wikidata,,Q908810,way
Brüder-Grimm-Straße,wikidata,,Q2793,way
"Brüsseler Straße",wikidata,,Q239,way
"Burgholzer Platz",wikidata,,Q1015073,way
"Burgholzer Straße",wikidata,,Q1015073,way
Cimbernweg,wikidata,,Q106599,way
Cranachstraße,wikidata,,Q56538064,way
Crutzenkirchweg,wikidata,,Q115056,way
"Darmstädter Landstraße",wikidata,,Q2973,way
"Den Haager Straße",wikidata,,Q36600,way
"Dillenburger Straße",wikidata,,Q517381,way
Dominikanergasse,wikidata,,Q131479,way
Domplatz,wikidata,,Q57341,way
Domstraße,wikidata,,Q57341,way
"Dortelweiler Straße",wikidata,,Q1250562,relation+way
Dreieichstraße,wikidata,,Q14845,way
Dreikönigsstraße,wikidata,,Q1185719,way
"Düsseldorfer Straße",wikidata,,Q1718,way
"Eckenheimer Landstraße",wikidata,,Q315797,way
Elbestraße,wikidata,,Q1644,way
"Elbinger Straße",wikidata,,Q104712,way
Elektronstraße,wikidata,,Q1069414,way
"Emser Brücke",wikidata,,Q490670,way
"Eppsteiner Straße",wikidata,,Q45347,way
